country	id	cl	X1	X2	X3	X4	X5	X6	X7	village	village_name
TAJIKISTAN	596716	6	2.46200489077219e-06	2.8794732244442e-08	1.20990405453716e-06	0.00114201343012006	5.547812044644e-10	0.998851782067825	2.50324359626e-06	TAJIKISTAN2	Khorog
TAJIKISTAN	596718	1	0.970879921233364	2.3544269597145e-08	0.0216513498645585	3.60462267910738e-08	1.60290621308815e-08	0.00743864909110416	3.000419141491e-05	TAJIKISTAN2	Khorog
TAJIKISTAN	596721	1	0.999925802614628	1.70096212242e-10	1.2535018501309e-07	1.133608704e-14	9.2462690266e-12	7.37176372663566e-05	3.5421856659e-07	TAJIKISTAN2	Khorog
TAJIKISTAN	596722	1	0.999987521389367	5.6461935917e-11	1.13177390420676e-05	2.1024150763e-13	8.852857914e-13	1.0633457116113e-06	9.746832151e-08	TAJIKISTAN2	Khorog
TAJIKISTAN	596723	1	0.93299970290711	6.31086670479816e-06	0.0345440943699995	1.91690985453116e-09	2.37768350539433e-05	0.000519196807910268	0.0319069162963113	TAJIKISTAN2	Khorog
TAJIKISTAN	596724	6	0.00113312373775651	1.50493577159598e-05	0.00094093179756688	7.14689771824915e-09	1.21204425601088e-06	0.997908046762591	1.62915321641e-06	TAJIKISTAN2	Khorog
TAJIKISTAN	596727	1	0.999059231902764	3.610937087e-12	1.5668071719918e-08	2.7399773001e-13	5.88858255e-14	0.000940644212915912	1.0821230498e-07	TAJIKISTAN2	Khorog
TAJIKISTAN	596728	3	2.5321021491763e-05	3.82297040801e-10	0.999958680341494	2.24780004801e-12	4.13574772106011e-08	2.1712377738e-09	1.595472375403e-05	TAJIKISTAN2	Khorog
TAJIKISTAN	596729	1	0.533963572633253	1.17458545335599e-06	0.464749805272539	2.9562786032125e-10	2.49714231250516e-08	0.00128278668480876	2.63555689485e-06	TAJIKISTAN2	Khorog
TAJIKISTAN	596730	1	0.999973893352635	1.0615964531e-11	5.09612457262144e-06	3.977943342e-14	5.3588999e-14	2.09339033747998e-05	7.66087088e-08	TAJIKISTAN2	Khorog
